state,measure_id,observations,available_scores,completeness_pct,avg_readmission_score,denominator_weighted_score,total_denominator
PR,READM_30_AMI,55,34,61.8,15.28,15.43,7711.0
PR,READM_30_CABG,55,8,14.5,11.18,10.9,736.0
PR,READM_30_COPD,55,35,63.6,20.36,20.67,3888.0
PR,READM_30_HF,55,40,72.7,23.29,23.63,10376.0
PR,READM_30_HIP_KNEE,55,29,52.7,5.38,4.6,5952.0
PR,READM_30_PN,55,43,78.2,18.6,18.81,12493.0
RI,READM_30_AMI,11,6,54.5,14.67,15.06,1628.0
RI,READM_30_CABG,11,1,9.1,9.5,9.5,143.0
RI,READM_30_COPD,11,10,90.9,20.36,20.06,2585.0
RI,READM_30_HF,11,10,90.9,21.45,21.64,5989.0
RI,READM_30_HIP_KNEE,11,6,54.5,5.62,5.01,806.0
RI,READM_30_PN,11,10,90.9,17.78,17.25,5579.0
SC,READM_30_AMI,58,26,44.8,14.31,14.22,8070.0
SC,READM_30_CABG,58,16,27.6,11.41,11.76,2685.0
SC,READM_30_COPD,58,51,87.9,20.02,20.2,10135.0
SC,READM_30_HF,58,52,89.7,21.55,21.65,25021.0
SC,READM_30_HIP_KNEE,58,26,44.8,6.1,6.04,2036.0
SC,READM_30_PN,58,53,91.4,17.74,18.01,22141.0
SD,READM_30_AMI,60,5,8.3,13.56,13.17,1682.0
SD,READM_30_CABG,60,3,5.0,10.6,10.21,568.0
SD,READM_30_COPD,60,14,23.3,19.98,19.89,1263.0
SD,READM_30_HF,60,18,30.0,20.91,20.53,3077.0
SD,READM_30_HIP_KNEE,60,11,18.3,5.78,4.99,1454.0
SD,READM_30_PN,60,34,56.7,17.03,17.0,4048.0
TN,READM_30_AMI,101,45,44.6,14.37,14.31,11624.0
TN,READM_30_CABG,101,20,19.8,10.79,10.73,4019.0
TN,READM_30_COPD,101,74,73.3,19.86,19.97,13169.0
TN,READM_30_HF,101,75,74.3,21.35,21.06,33966.0
TN,READM_30_HIP_KNEE,101,36,35.6,5.92,5.69,4633.0
TN,READM_30_PN,101,84,83.2,17.45,17.46,37141.0
TX,READM_30_AMI,406,168,41.4,14.48,14.62,33428.0
TX,READM_30_CABG,406,93,22.9,11.35,11.31,11959.0
TX,READM_30_COPD,406,198,48.8,19.85,19.95,33192.0
TX,READM_30_HF,406,224,55.2,21.26,21.07,102896.0
TX,READM_30_HIP_KNEE,406,114,28.1,5.89,5.77,12853.0
TX,READM_30_PN,406,258,63.5,17.32,17.54,112487.0
UT,READM_30_AMI,48,14,29.2,13.77,13.26,3131.0
UT,READM_30_CABG,48,8,16.7,10.1,9.93,872.0
UT,READM_30_COPD,48,18,37.5,19.52,19.4,1217.0
UT,READM_30_HF,48,27,56.3,20.41,19.54,6090.0
UT,READM_30_HIP_KNEE,48,20,41.7,5.65,5.65,1658.0
UT,READM_30_PN,48,37,77.1,16.57,16.03,7047.0
VA,READM_30_AMI,87,46,52.9,14.25,14.14,11563.0
VA,READM_30_CABG,87,18,20.7,11.07,10.8,2551.0
VA,READM_30_COPD,87,76,87.4,19.7,19.74,11948.0
VA,READM_30_HF,87,78,89.7,21.23,20.97,38912.0
VA,READM_30_HIP_KNEE,87,38,43.7,5.92,5.79,3599.0
VA,READM_30_PN,87,78,89.7,17.36,17.44,35608.0
VI,READM_30_AMI,2,0,0.0,,,
VI,READM_30_CABG,2,0,0.0,,,
VI,READM_30_COPD,2,0,0.0,,,
VI,READM_30_HF,2,2,100.0,22.3,22.28,168.0
VI,READM_30_HIP_KNEE,2,0,0.0,,,
VI,READM_30_PN,2,2,100.0,17.4,17.53,118.0
VT,READM_30_AMI,15,1,6.7,14.2,14.2,712.0
VT,READM_30_CABG,15,1,6.7,10.5,10.5,213.0
VT,READM_30_COPD,15,11,73.3,20.15,20.49,1092.0
VT,READM_30_HF,15,14,93.3,21.34,21.0,2200.0
VT,READM_30_HIP_KNEE,15,5,33.3,5.92,5.81,313.0
VT,READM_30_PN,15,14,93.3,17.14,17.08,2380.0
WA,READM_30_AMI,91,35,38.5,13.95,13.83,9519.0
WA,READM_30_CABG,91,15,16.5,10.51,10.4,2033.0
WA,READM_30_COPD,91,55,60.4,19.93,20.1,7250.0
WA,READM_30_HF,91,59,64.8,20.97,20.67,24530.0
WA,READM_30_HIP_KNEE,91,37,40.7,5.58,5.33,3402.0
WA,READM_30_PN,91,69,75.8,16.86,16.76,22780.0
WI,READM_30_AMI,127,39,30.7,14.09,13.83,8811.0
WI,READM_30_CABG,127,21,16.5,10.61,10.43,2806.0
WI,READM_30_COPD,127,89,70.1,19.79,19.98,9037.0
WI,READM_30_HF,127,100,78.7,21.16,21.13,26580.0
WI,READM_30_HIP_KNEE,127,27,21.3,5.79,5.4,2851.0
WI,READM_30_PN,127,107,84.3,17.04,16.96,22612.0
WV,READM_30_AMI,50,15,30.0,14.69,14.85,5019.0
WV,READM_30_CABG,50,7,14.0,11.01,11.72,1116.0
WV,READM_30_COPD,50,39,78.0,20.17,20.27,6824.0
WV,READM_30_HF,50,37,74.0,22.1,22.47,10772.0
WV,READM_30_HIP_KNEE,50,15,30.0,5.81,5.8,1408.0
WV,READM_30_PN,50,43,86.0,17.6,17.93,14070.0
WY,READM_30_AMI,30,3,10.0,14.3,14.56,452.0
WY,READM_30_CABG,30,2,6.7,12.85,12.83,64.0
WY,READM_30_COPD,30,10,33.3,19.32,19.02,722.0
WY,READM_30_HF,30,12,40.0,20.64,20.6,1501.0
WY,READM_30_HIP_KNEE,30,6,20.0,6.15,6.24,286.0
WY,READM_30_PN,30,19,63.3,17.05,16.96,2084.0
